indiv_ID;d13C;d15N;Species_code
Arct-ris 1;-20.14;10.37;Arct-ris
Arct-ris 10;-20.35;10.25;Arct-ris
Arct-ris 11;-20.25;9.81;Arct-ris
Arct-ris 12;-20.15;10.32;Arct-ris
Arct-ris 13;-19.86;10.64;Arct-ris
Arct-ris 14;-20.27;10.46;Arct-ris
Arct-ris 15;-19.75;10.46;Arct-ris
Arct-ris 16;-20.17;10.28;Arct-ris
Arct-ris 17;-20.27;10.35;Arct-ris
Arct-ris 18;-20.13;10.33;Arct-ris
Arct-ris 19;-20.01;10.49;Arct-ris
Arct-ris 2;-20.03;10.4;Arct-ris
Arct-ris 20;-20.13;10.28;Arct-ris
Arct-ris 3;-20.23;10.36;Arct-ris
Arct-ris 4;-20.19;10.36;Arct-ris
Arct-ris 5;-20.24;10.52;Arct-ris
Arct-ris 6;-20.1;10.61;Arct-ris
Arct-ris 7;-20.08;10.66;Arct-ris
Arct-ris 8;-20.11;10.74;Arct-ris
Arct-ris 9;-20.13;10.38;Arct-ris
Arg-olf 1;-19.71;10.4;Arg-olf
Arg-olf 10;-19.98;9.89;Arg-olf
Arg-olf 11;-20.18;9.06;Arg-olf
Arg-olf 2;-19.92;10;Arg-olf
Arg-olf 3;-19.92;9.86;Arg-olf
Arg-olf 4;-19.57;10.38;Arg-olf
Arg-olf 5;-19.9;10.15;Arg-olf
Arg-olf 6;-19.98;9.84;Arg-olf
Arg-olf 7;-20.18;9.55;Arg-olf
Arg-olf 8;-19.96;10.02;Arg-olf
Arg-olf 9;-19.81;10.01;Arg-olf
Lamp-cro 1;-20.16;9.49;Lamp-cro
Lamp-cro 10;-20.05;9.41;Lamp-cro
Lamp-cro 11;-20.14;9.64;Lamp-cro
Lamp-cro 12;-20.14;9.01;Lamp-cro
Lamp-cro 13;-20.24;9.75;Lamp-cro
Lamp-cro 14;-19.89;8.91;Lamp-cro
Lamp-cro 15;-20.19;9.18;Lamp-cro
Lamp-cro 16;-20.08;9.17;Lamp-cro
Lamp-cro 17;-20.18;9.47;Lamp-cro
Lamp-cro 18;-20.14;9.08;Lamp-cro
Lamp-cro 19;-20.17;10.11;Lamp-cro
Lamp-cro 2;-20.06;10.23;Lamp-cro
Lamp-cro 20;-20.1;9.66;Lamp-cro
Lamp-cro 3;-20.15;9.96;Lamp-cro
Lamp-cro 4;-20.18;8.79;Lamp-cro
Lamp-cro 5;-20.31;9.31;Lamp-cro
Lamp-cro 6;-20.1;10.18;Lamp-cro
Lamp-cro 7;-20.12;9.7;Lamp-cro
Lamp-cro 8;-20.07;9.19;Lamp-cro
Lamp-cro 9;-20.35;9.22;Lamp-cro
Myct-pun 1;-20.44;10.18;Myct-pun
Myct-pun 10;-19.06;10.62;Myct-pun
Myct-pun 11;-20.14;9.64;Myct-pun
Myct-pun 12;-20.34;10.11;Myct-pun
Myct-pun 13;-19.55;10.48;Myct-pun
Myct-pun 14;-20.17;10.52;Myct-pun
Myct-pun 15;-20.51;10.17;Myct-pun
Myct-pun 16;-20.36;9.87;Myct-pun
Myct-pun 17;-20.96;10.23;Myct-pun
Myct-pun 2;-20.8;8.95;Myct-pun
Myct-pun 3;-20.45;10.14;Myct-pun
Myct-pun 4;-18.17;10.28;Myct-pun
Myct-pun 5;-20.29;10.61;Myct-pun
Myct-pun 6;-20.24;10.54;Myct-pun
Myct-pun 7;-20.64;10.09;Myct-pun
Myct-pun 8;-20.49;9.99;Myct-pun
Myct-pun 9;-20.83;9.89;Myct-pun
Noto-kro 1;-19.71;11.31;Noto-kro
Noto-kro 10;-19.71;11.09;Noto-kro
Noto-kro 11;-19.51;10.68;Noto-kro
Noto-kro 12;-19.65;11.42;Noto-kro
Noto-kro 13;-20.2;11.39;Noto-kro
Noto-kro 14;-19.36;10.71;Noto-kro
Noto-kro 15;-19.52;10.7;Noto-kro
Noto-kro 16;-19.43;11;Noto-kro
Noto-kro 17;-20.13;10.84;Noto-kro
Noto-kro 18;-19.62;11.32;Noto-kro
Noto-kro 19;-19.62;11.46;Noto-kro
Noto-kro 2;-19.63;11.13;Noto-kro
Noto-kro 20;-19.99;11.18;Noto-kro
