station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;trawling_depth_non_duplicate;bottom_depth;bottom_proximity;taxon;family;species_code;species;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;percentage_c;percentage_c_delipidated;ampl_28;d15n;d15n_delipidated;percentage_n;percentage_n_delipidated;ratio_c_n_muscle;ratio_c_n_muscle_delipidated
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,02;1116,923;109,28305;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;6,1;6,5;1;Arg-olf 42;;;non;-19,22;;NA;-19,22;;NA;;8,15;NA;;NA;2,83;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,6;1661,471;1290,521;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;4,2;2,5;1;Arg-olf 11;0,531;7794;non;-19,91;-20,18;NA;-19,91;42,37;NA;3661;9,06;NA;13,75;NA;3,08;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,73;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;12,7;17;1;Xeno-cop 52;0,4955;7300;non;-20,02;-20,29;NA;-20,29;36,42;NA;2977;9,53;NA;11,81;NA;3,08;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,01;2281,333;1284,128;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5;4;1;Arg-olf 38;0,5555;12117;non;-19,68;-19,93;NA;-19,68;44,96;NA;4321;9,8;NA;14,53;NA;3,09;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,76;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;13,9;20;1;Xeno-cop 44;0,5145;7928;non;-20,2;-20,46;NA;-20,46;38,16;NA;3246;9,77;NA;12,33;NA;3,09;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,33;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5;3,5;1;Arg-olf 27;0,462;7950;non;-19,88;-20,13;NA;-19,88;44,37;NA;3402;9,67;NA;14,3;NA;3,1;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,05;2281,333;1284,128;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;7,2;11;1;Arg-olf 35;0,5135;9424;non;-19,38;-19,62;NA;-19,38;37,75;NA;5262;9,97;NA;12,16;NA;3,1;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;371,08;1661,471;1290,521;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;14;27;1;Xeno-cop 3;0,512;7565;non;-19,97;-20,22;NA;-20,22;40;NA;3270;9,65;NA;12,9;NA;3,1;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,81;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;17,5;40,5;1;Xeno-cop 43;0,5315;7856;non;-19,81;-20,06;NA;-20,06;41,11;NA;3607;9,11;NA;13,23;NA;3,11;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,99;1661,471;1290,521;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;12,5;14;1;Xeno-cop 2;0,495;7643;non;-20,01;-20,24;NA;-20,24;40,17;NA;3140;9,55;NA;12,88;NA;3,12;NA
