Code_Station;Code_Espece_Campagne;Nom_Scientifique;V_HV;Num_Ordre_V_HV_H2;Tot_V_HV;Type_Volume_Poids_V_HV;Unite_Volume_Poids_V_HV;Commentaire_V_HV;Class_Tri;Num_Ordre_Class_Tri_H2;Tot_Class_Tri;Ech_Class_Tri;Type_Volume_Poids_Class_Tri;Unite_Volume_Poids_Class_Tri;Commentaire_Class_Tri;Sexe;Num_Ordre_Sexe_H2;Tot_Sexe;Ech_Sexe;Type_Volume_Poids_Sexe;Unite_Volume_Poids_Sexe;Commentaire_Sexe;Code_Longueur;Libelle_Longueur;Taille;NumOrdre_Taille_H2;Poids_Classe_Taille;Unite_Taille;Precision_Mesure;Nbr;Nbr_Calcule;Poids_Reference;Coef_Elev_Espece_Capture;Coef_Final_Elevation;Serie_Id;V_HV_Id;V_HV_Lot_Id;Class_Tri_Id;Class_Tri_Lot_Id;Sexe_Id;Sexe_Lot_Id;Origine;Melag
Z0524;ALEP-BAI;Alepocephalus bairdii;Vrac;1;0.011;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;12.0;1;;cm;1.0;1;N;0.011;1.0;1.0;CAM-EVHOE;311;19498;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;4.0;1;;cm;1.0;1;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;6.0;2;;cm;1.0;6;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;7.0;3;;cm;1.0;4;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;9.0;4;;cm;1.0;6;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;10.0;5;;cm;1.0;3;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;11.0;6;;cm;1.0;6;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;12.0;7;;cm;1.0;2;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;13.0;8;;cm;1.0;6;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
Z0524;XENO-COP;Xenodermichthys copei;Vrac;2;0.325;Poids;kg;;NA;;;;;kg;;NA;;;;;kg;;306;Longueur totale (LT) - individu - totale - Mesure au cm par un observateur;14.0;9;;cm;1.0;1;N;0.325;1.0;1.0;CAM-EVHOE;311;19500;NA;;NA;;1;N
