Annee;Serie;Code_Station;Species_code;Nom_Scientifique;family;Tot_V_HV;Ech_V_HV;Type_Volume_Poids_V_HV;Unite_Volume_Poids_V_HV;Poids_Reference
2021;Campagne EVHOE;Z0492;Arct-ris;Arctozenus_risso;Paralepididae;0.198;;Poids;kg;0.198
2021;Campagne EVHOE;Z0503;Arct-ris;Arctozenus_risso;Paralepididae;0.113;;Poids;kg;0.113
2021;Campagne EVHOE;Z0512;Arct-ris;Arctozenus_risso;Paralepididae;0.089;;Poids;kg;0.089
2021;Campagne EVHOE;Z0492;Arg-olf;Argyropelecus_olfersii;Sternoptychidae;0.031;;Poids;kg;0.031
2021;Campagne EVHOE;Z0497;Arg-olf;Argyropelecus_olfersii;Sternoptychidae;0.044;;Poids;kg;0.044
2021;Campagne EVHOE;Z0512;Arg-olf;Argyropelecus_olfersii;Sternoptychidae;0.078;;Poids;kg;0.078
2021;Campagne EVHOE;Z0518;Arg-olf;Argyropelecus_olfersii;Sternoptychidae;0.067;;Poids;kg;0.067
2021;Campagne EVHOE;Z0524;Arg-olf;Argyropelecus_olfersii;Sternoptychidae;0.034;;Poids;kg;0.034
2021;Campagne EVHOE;Z0518;Ben-gla;Benthosema_glaciale;Myctophidae;0.064;;Poids;kg;0.064
2021;Campagne EVHOE;Z0503;Cyclo;Cyclothone;Gonostomatidae;0.171;;Poids;kg;0.171
2021;Campagne EVHOE;Z0492;Lamp-cro;Lampanyctus_crocodilus;Myctophidae;0.297;;Poids;kg;0.297
2021;Campagne EVHOE;Z0497;Lamp-cro;Lampanyctus_crocodilus;Myctophidae;0.479;;Poids;kg;0.479
2021;Campagne EVHOE;Z0503;Lamp-cro;Lampanyctus_crocodilus;Myctophidae;0.981;;Poids;kg;0.981
2021;Campagne EVHOE;Z0512;Lamp-cro;Lampanyctus_crocodilus;Myctophidae;0.353;;Poids;kg;0.353
2021;Campagne EVHOE;Z0518;Lamp-cro;Lampanyctus_crocodilus;Myctophidae;1.016;;Poids;kg;1.016
2021;Campagne EVHOE;Z0524;Lamp-cro;Lampanyctus_crocodilus;Myctophidae;3.05;1.27;Poids;kg;1.27
2021;Campagne EVHOE;Z0497;Lamp-mac;Lampanyctus_macdonaldi;Myctophidae;0.649;;Poids;kg;0.649
2021;Campagne EVHOE;Z0508;Lesti-sphy;Lestidiops_sphyrenoides;Lestidiidae;0.056;;Poids;kg;0.056
2021;Campagne EVHOE;Z0518;Mau-arg;Maulisia_argipalla;Platytroctidae;0.142;;Poids;kg;0.142
2021;Campagne EVHOE;Z0508;Mau-mue;Maurolicus_muelleri;Sternoptychidae;0.55;;Poids;kg;0.55
2021;Campagne EVHOE;Z0524;Mel-atlan;Melanostigma_atlanticum;Zoarcidae;0.189;;Poids;kg;0.189
2021;Campagne EVHOE;Z0492;Myct-pun;Myctophum_punctatum;Myctophidae;0.081;;Poids;kg;0.081
2021;Campagne EVHOE;Z0497;Myct-pun;Myctophum_punctatum;Myctophidae;0.17;;Poids;kg;0.17
2021;Campagne EVHOE;Z0508;Myct-pun;Myctophum_punctatum;Myctophidae;0.094;;Poids;kg;0.094
2021;Campagne EVHOE;Z0508;Noto-bol;Notoscopelus_bolini;Myctophidae;0.429;;Poids;kg;0.429
2021;Campagne EVHOE;Z0492;Noto-kro;Notoscopelus_kroyeri;Myctophidae;1.741;0.833;Poids;kg;0.833
2021;Campagne EVHOE;Z0508;Noto-kro;Notoscopelus_kroyeri;Myctophidae;0.223;;Poids;kg;0.223
2021;Campagne EVHOE;Z0512;Noto-kro;Notoscopelus_kroyeri;Myctophidae;0.165;;Poids;kg;0.165
2021;Campagne EVHOE;Z0518;Ser-koef;Searsia_koefoedi;Platytroctidae;0.295;;Poids;kg;0.295
2021;Campagne EVHOE;Z0497;Ser-bea;Serrivomer_beanii;Serrivomeridae;0.545;;Poids;kg;0.545
2021;Campagne EVHOE;Z0503;Ser-bea;Serrivomer_beanii;Serrivomeridae;0.137;;Poids;kg;0.137
2021;Campagne EVHOE;Z0518;Ser-bea;Serrivomer_beanii;Serrivomeridae;0.206;;Poids;kg;0.206
2021;Campagne EVHOE;Z0524;Ser-bea;Serrivomer_beanii;Serrivomeridae;0.256;;Poids;kg;0.256
2021;Campagne EVHOE;Z0492;Xeno-cop;Xenodermichthys_copei;Alepocephalidae;0.721;;Poids;kg;0.721
2021;Campagne EVHOE;Z0497;Xeno-cop;Xenodermichthys_copei;Alepocephalidae;0.168;;Poids;kg;0.168
2021;Campagne EVHOE;Z0503;Xeno-cop;Xenodermichthys_copei;Alepocephalidae;0.427;;Poids;kg;0.427
2021;Campagne EVHOE;Z0512;Xeno-cop;Xenodermichthys_copei;Alepocephalidae;1.131;;Poids;kg;1.131
2021;Campagne EVHOE;Z0524;Xeno-cop;Xenodermichthys_copei;Alepocephalidae;0.325;;Poids;kg;0.325
