station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;bottom_depth;bottom_proximity;taxon;family;species_code;species;group;community;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;%c;%c_delipidated;ampl_28;d15n;d15n_delipidated;%n;%n_delipidated;ratio_c_n_muscle_delipidated;ratio_c_n_muscle
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;14;4,5;1;Lesti-sphy 1;0,4525;8836;non;-20,59;-20,32;NA;-20,32;47,79;NA;3824;10,35;NA;13,18;NA;3,625844304;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13;4;1;Lesti-sphy 10;0,5035;9441;non;-19,59;-19,64;NA;-19,64;46,07;NA;4482;11,15;NA;13,92;NA;3,309161678;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13,4;4;1;Lesti-sphy 11;0,4635;10852;non;-19,76;-19,83;NA;-19,83;42,27;NA;3774;11,48;NA;12,9;NA;3,277327035;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;11,1;2,5;1;Lesti-sphy 12;0,5335;9407;non;-20,13;-20,14;NA;-20,14;43,97;NA;4445;10,43;NA;13,16;NA;3,341869686;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13,9;4,5;1;Lesti-sphy 2;0,5355;9216;non;-20,03;-20;NA;-20;45,5;NA;4633;10,69;NA;13,44;NA;3,385301211;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13,2;4;1;Lesti-sphy 3;0,498;9190;non;-19,76;-19,8;NA;-19,8;45,34;NA;4350;10,95;NA;13,67;NA;3,315355174;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13,1;3,5;1;Lesti-sphy 4;0,505;9551;non;-20,1;-20,11;NA;-20,11;46,41;NA;4502;10,58;NA;13,9;NA;3,338779023;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;14,7;5,5;1;Lesti-sphy 5;0,4605;8779;non;-20,25;-20,14;NA;-20,14;46,6;NA;3983;10,44;NA;13,46;NA;3,462393754;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13;3;1;Lesti-sphy 6;0,533;9494;non;-20,1;-20,12;NA;-20,12;45,72;NA;4692;10,46;NA;13,72;NA;3,331748606;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13;3,5;1;Lesti-sphy 7;0,4835;9317;non;-20,11;-20,06;NA;-20,06;46,71;NA;4244;10,65;NA;13,74;NA;3,398873971;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;13,5;4;1;Lesti-sphy 8;0,528;9381;non;-19,95;-19,98;NA;-19,98;45,85;NA;4637;10,47;NA;13,78;NA;3,327358997;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Lestidiidae;Lesti-sphy;Lestidiops_sphyrenoides;1;25;14,3;5;1;Lesti-sphy 9;0,5075;9294;non;-20,12;-20,05;NA;-20,05;46,05;NA;4378;11;NA;13,47;NA;3,417831472;NA
